userId,college_id,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,timestamp
1,1,8.7,9,7.9,8.7,8.8,8.8,9,964982703
1,2,8.4,8.7,7.7,8.1,8.7,8.3,8.7,964981247
1,3,8.5,8.6,7.8,8.2,8.7,8.8,8.7,964982224
1,4,8.3,8.3,8,7.8,8.9,8.5,8.5,964983815
1,5,7.2,6.5,6.6,6.9,7.6,7.1,8.3,964982931
1,6,8.6,8.9,7.6,8.7,9.1,8.3,8.8,964982400
1,7,8.1,8.5,7,8.2,8.3,8.7,8.1,964980868
1,8,9,9.2,8.7,8.9,9,9.1,8.8,964982176
1,9,8.6,8.9,7.9,8.6,8.6,8.7,8.6,964984041
1,10,8,8.5,6.8,8.2,7.4,8.4,8.5,964984100
1,11,7.9,7.9,7.9,7.9,8.5,7.5,7.4,964983650
1,12,8.2,8.3,7.6,8,8.8,7.9,8.5,964981208
1,13,8.2,8.5,8.5,8.1,7.8,8.3,8.1,964980985
1,14,8.1,8.5,8.1,8.3,8.6,7.9,7,964981179
1,15,8.1,8.4,7.1,8.3,8,8,8.8,964980908
1,16,7.6,7.8,6.9,7.8,7.9,6.9,8,964981680
1,17,8.1,8.2,7.4,8.2,9,8.2,7.7,964982967
1,18,8.3,8.3,7.7,8.3,8.9,8.3,8.3,964982310
1,19,8.3,8.2,8.1,8,9.1,8.1,8.2,964981179
1,20,8.1,8.5,7.3,8.3,8.3,7.9,8.5,964982563
1,21,8.3,8.4,8,8.4,8.2,8.2,8.4,964980962
1,22,8,7,--,--,9,8,--,964982588
1,23,8,8.1,7.3,8.1,8.6,7.7,7.9,964981710
1,24,7.7,8.4,7.3,7.9,8.2,7.9,6.7,964982363
1,25,8.2,8.4,7.8,8.3,8.7,7.7,8.2,964980868
1,26,8.1,8.4,7.7,8,8.3,8.3,8,964981909
1,27,7.8,8.1,6.3,8.1,8,8.3,7.7,964982346
1,28,8.2,8.4,7.4,8.4,8.6,8.1,8,964981208
1,29,8.9,9.3,7.9,8.7,8.9,9.1,9.2,964984002
1,30,8.7,9.1,8.1,8.9,8.7,8.4,9.1,964981179
1,31,8.1,8.3,7.5,8,8.4,7.7,8.7,964982653
1,32,8.6,8.7,8.2,8.1,8.5,8.7,9.1,964984153
1,33,8.8,9,8.6,8.8,9,8.6,8.6,964982546
1,34,9,9,9,9,9,9.3,8.6,964982271
1,35,8.3,8,8.5,7.6,7.9,8.7,9,964983793
1,36,7.8,8.1,6.8,7.9,8.1,7.7,8.2,964982838
1,37,7.9,8.2,7.2,7.8,7.1,8.7,8.4,964982931
1,38,8.4,8.5,8,8.4,8.5,8,8.8,964982563
1,39,8.2,8.1,8,7.8,8.7,8.1,8.3,964982838
1,40,8.1,8.4,6.9,7.9,8.3,9.1,8.1,964981775
1,41,8.1,8.3,7.6,8,7.9,8.3,8.2,964982400
1,42,7.5,8,7.2,7.7,7.9,6.9,7.4,964982653
1,43,7.6,7.7,7,7.6,8.2,7.2,7.6,964984086
1,44,8.3,8.4,7.3,8.3,8.4,8.8,8.4,964980499
1,45,8,8.1,7,8,8.5,7.7,8.4,964982475
1,46,7.8,8.2,6.8,8.1,7.4,8,8.1,964981529
1,47,8.6,8.2,8,8.1,9,8.7,9.3,964982176
1,48,8,8.3,7.2,7.9,8,8.1,8.2,964983614
1,49,8.2,8.2,8,7.7,8.7,8,8.5,964983219
